id,operation_type,src_path,desc,saved_path,sha1,saved_timestamp,modified_timestamp,timezone
1,COMPANION_APP_ANDROID,/data/data/com.amazon.dee.app/app_webview/Cookies,SQLite for Login Credential,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/708f586432dd30237100028800deffb45c53dcae.db,cd0442520d179e11d7e97d1b6cb87dc66855ad13,2018-03-19 04:43:36,-,UTC-4
2,COMPANION_APP_ANDROID,/data/data/com.amazon.dee.app/databases/DataStore.db,SQLite for To-do and Shopping List,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/91d92cf7fad8556ba7abe48eb2a2abed1d7b2843.db,88bb90b2d5eed8f5edca2833a685a5536156b793,2018-03-19 04:43:36,-,UTC-4
3,COMPANION_APP_ANDROID,/data/data/com.amazon.dee.app/databases/map_data_storage_v2.db,SQLite for Account and Device info. (encrypted),D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/dfd3f1b936b69e8d75584b03ba2bab0e6741afc4.db,f5bc3aa90ddafbc11c7cd63df9aa59f05ef4aedb,2018-03-19 04:43:36,-,UTC-4
4,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/bootstrap?version=1.24.2294.0&_=1499931369636,Bootstrap Account,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/862e595b63b27edf835e35c4dde8a9d82a57382c.json,954d4f54d129e2b12e1ace3e58bf7d21a192b6c5,2018-03-19 04:43:37,-,UTC-4
5,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/amazon-music-benefits?customerId=A4C34GWKR5R6R&_=1499931282860,,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/6ce273fbe8627a32950395a9b04780c8adf57141.json,95882e1a08dc8644082a89b9d288b9f2d5e2b10e,2018-03-19 04:43:37,-,UTC-4
6,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/phoenix?_=1499931282850,Compatible Devices,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/dc11c1849d9a3337be5a4f108ee51e7aded6635b.json,5d06d8f2748a1120daf4e01ad651be8c5f1ce075,2018-03-19 04:43:37,-,UTC-4
7,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/devices/device?cached=true&_=1499931369643,Registered Alexa Devices,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/a3446d7981f604b0650ab8c5cbf42a9461e4547c.json,b0fb47698a3ae4ab8e2cadbf704e9b7a711f1612,2018-03-19 04:43:37,-,UTC-4
8,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/strings?_=1500271403852,,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/a6d992413bd322660543a432e4c50b980daf8d0e.json,1c35c528065701868126d4f00aa4de001b7dbd46,2018-03-19 04:43:37,-,UTC-4
9,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/featureaccess-v2?f=EON_FEATURE_RELEASE3&f=EON_FEATURE_MP1&f=CALENDAR_FEATURE_POTATO_V3&f=EON_FEATURE_GUI_GINGER_1&f=EON_FEATURE_GUI_OREGANO_1&f=CALENDAR_FEATURE_IABT&f=CALENDAR_FEATURE_FIREOS_IABT&f=BLACK_ZEBRA_GUI&f=FLIPPER_FEATURE&f=ALWAYS_ON_TEST_FEATURE&f=TEST_FEATURE&f=TACHYON_FEATURE_M&f=TACHYON_FEATURE_C&f=TACHYON_FEATURE_C_CMD&f=TIME_ZONE_FEATURE&f=MUSKRAT_SKILLS&f=CAPYBARA_SKILLS&f=ORCA_FEATURE&f=PUPPY_FEATURE&f=DREAM_FEATURE&f=OOBE_PICO_FEATURE&f=OOBE_BRODIE_FEATURE&f=MUSIC_GUI_PRIMEMUSICTEST_FEATURE&f=SLEEP_SPEECHLET&f=DO_NOT_DISTURB_SPEECHLET_EU&f=SMARTHOME_GUI_FORCE_DISCOVERY&f=SMARTHOME_GUI_MISHA&f=BABY_PANDA_DISCOVERY_POPUP_FEATURE&f=GUI_BT_UK&f=SHARKNADO_FEATURE&f=VOX_TACHYON_NA&f=DOLCE_VITA_FEATURE&f=TA_REFACTORING&f=REMINDERS_PUSH_NOTIF_FEATURE&f=ALEXA_MUSIC_KIT_ORBIT&f=LEMUR_FEATURE&f=LEMUR_VOLUME_FEATURE&f=LEMUR_WITH_RINGS_FEATURE&f=ALEXA_STORE_STARTUP_CALL_TIMING&f=ARTHUR_FEATURE&f=KNIGHT_GUI_TESTING&f=TODOS_NAMED_LISTS&f=PAPA_PANDA_DISCOVERY_POPUP_FEATURE&f=TA_FLAY_SAY&f=NEW_SMART_HOME_GUI_FEATURE&f=TNS_GUI_FEATURE&f=SMARTHOME_COLOR_NAC_DEVICE_TYPE&f=AV_KNIGHT_FEATURE&f=PS_SHIPPING_NOTIFICATIONS&f=NOTIFICATIONS_GUI_APP_SETTINGS_FEATURE&f=NOTIFICATIONS_GUI_APP_SETTINGS_FEATURE_EU&f=NOTIFICATIONS_GUI_APP_AUDIO_TOGGLE_FEATURE&f=NOTIFICATIONS_GUI_APP_AUDIO_TOGGLE_FEATURE_EU&f=NOTIFICATIONS_GUI_APP_CUSTOM_MESSAGE_SOUND_FEATURE&f=WINTER_IS_COMING_FEATURE&f=GOLDFISH_FEATURE&f=TARGET_DEVICE_3PDA_FEATURE&f=TRAFFIC_SEGMENTED_ADDRESS&f=DEE_PS_SPEAKER_AUTHORIZATION&f=DREAM_MIGRATION_FEATURE&f=KNIGHT_LOCALE&f=ALEXA_DM_TERSE_GUI&_=1500271403860,,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/4c26f7c5578c39a3a4a86c7fa310f2db33927f94.json,b9f7055036ea0020da1e96fbd12e623c33af686f,2018-03-19 04:43:37,-,UTC-4
10,COMPANION_APP_ANDROID,https://pitangui.amazon.com/api/get-supported-device-address-countries?_=1500271403848,,D:\pycift\example\(2018-03-19_04.43.36)_CIFT_RESULT/Evidence_Library/AmazonAlexaClient/fd38e2f20135a118cc25f8418ac729532361fd04.json,0a5182f9b819ab954ee2b6b5c1fb6847b7f210cb,2018-03-19 04:43:37,-,UTC-4
